Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/comments,250,0,20,21.70015120001699,17.785000000003492,56.68099999957121,157745.0,4.211912895872639,0.0,20,21,22,23,25,28,50,53,57,57,57
POST,/comments,119,0,150,147.73160672268756,142.28970000021945,198.96479999988514,110.0,2.004870538435376,0.0,150,150,150,150,150,160,170,190,200,200,200
GET,/posts,416,0,18,20.109397596151815,15.592000000197004,58.849000000009255,27520.0,7.008623058732072,0.0,18,19,20,20,23,45,52,54,59,59,59
POST,/posts,229,0,150,147.42369388646713,142.89370000005874,183.33450000000084,76.0,3.8581122126193375,0.0,150,150,150,150,150,160,180,180,180,180,180
GET,/posts/1,7,0,18,21.024528571355663,16.27059999964331,38.45000000001164,292.0,0.1179335610844339,0.0,18,19,20,20,38,38,38,38,38,38,38
GET,/posts/10,1,0,24.535000000014406,24.535000000014406,24.535000000014406,24.535000000014406,217.0,0.016847651583490556,0.0,25,25,25,25,25,25,25,25,25,25,25
GET,/posts/100,1,0,181.66549999978088,181.66549999978088,181.66549999978088,181.66549999978088,246.0,0.016847651583490556,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/posts/11,3,0,19,20.061699999738874,17.9454999997688,23.694499999692198,262.0,0.050542954750471665,0.0,19,19,24,24,24,24,24,24,24,24,24
GET,/posts/12,4,0,20,62.600824999776705,19.73279999992883,188.26969999963694,250.0,0.06739060633396222,0.0,23,23,190,190,190,190,190,190,190,190,190
GET,/posts/13,4,0,18,18.27962499999103,15.428199999860226,20.378500000333588,336.0,0.06739060633396222,0.0,20,20,20,20,20,20,20,20,20,20,20
GET,/posts/14,4,0,18,18.54872499995963,16.430099999979575,20.76179999994565,230.0,0.06739060633396222,0.0,19,19,21,21,21,21,21,21,21,21,21
GET,/posts/15,4,0,17,18.16050000013547,16.895199999908073,20.194000000174128,235.0,0.06739060633396222,0.0,18,18,20,20,20,20,20,20,20,20,20
GET,/posts/16,3,0,17.101800000091316,61.69673333336808,17.101800000091316,150.73250000023108,313.0,0.050542954750471665,0.0,17,17,150,150,150,150,150,150,150,150,150
GET,/posts/17,7,0,20,20.793171428522328,17.19970000021931,26.192400000127236,246.0,0.1179335610844339,0.0,20,20,25,25,26,26,26,26,26,26,26
GET,/posts/18,3,0,19,20.233800000217645,17.569800000273972,24.066100000254664,214.0,0.050542954750471665,0.0,19,19,24,24,24,24,24,24,24,24,24
GET,/posts/19,2,0,19,20.638100000269333,18.879800000377145,22.39640000016152,245.0,0.03369530316698111,0.0,22,22,22,22,22,22,22,22,22,22,22
GET,/posts/2,7,0,18,36.30278571433467,16.645100000005186,145.97830000002432,278.0,0.1179335610844339,0.0,18,19,20,20,150,150,150,150,150,150,150
GET,/posts/20,7,0,17,37.28391428558098,16.020000000025902,153.7263999998686,308.0,0.1179335610844339,0.0,17,20,21,21,150,150,150,150,150,150,150
GET,/posts/21,3,0,18,62.7695666667023,16.900000000077853,153.7586999997984,279.0,0.050542954750471665,0.0,18,18,150,150,150,150,150,150,150,150,150
GET,/posts/22,2,0,19,86.10350000026301,18.838700000287645,153.36830000023838,230.0,0.03369530316698111,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/posts/23,6,0,18,18.80701666679367,17.65960000011546,21.56620000005205,253.0,0.10108590950094333,0.0,18,18,19,19,22,22,22,22,22,22,22
GET,/posts/24,4,0,16,17.65112499992938,15.834299999823997,19.921399999930145,243.0,0.06739060633396222,0.0,19,19,20,20,20,20,20,20,20,20,20
GET,/posts/25,5,0,18,44.77100000003702,16.29659999980504,150.5192999998144,237.0,0.08423825791745278,0.0,18,22,22,150,150,150,150,150,150,150,150
GET,/posts/26,1,0,171.62899999993897,171.62899999993897,171.62899999993897,171.62899999993897,259.0,0.016847651583490556,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/posts/27,4,0,19,19.010675000004085,17.480999999861524,19.605800000135787,288.0,0.06739060633396222,0.0,20,20,20,20,20,20,20,20,20,20,20
GET,/posts/28,2,0,32,90.74869999994917,31.73819999983607,149.75920000006226,249.0,0.03369530316698111,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/posts/29,6,0,18.39350000000195,20.060533333283576,18.39350000000195,24.574399999892194,247.0,0.10108590950094333,0.0,19,19,22,22,25,25,25,25,25,25,25
GET,/posts/3,3,0,17,18.96673333324846,16.471700000238343,23.870099999840022,283.0,0.050542954750471665,0.0,17,17,24,24,24,24,24,24,24,24,24
GET,/posts/30,3,0,22,64.81513333316495,21.197799999754352,151.03730000009818,234.0,0.050542954750471665,0.0,22,22,150,150,150,150,150,150,150,150,150
GET,/posts/31,1,0,19.78019999978642,19.78019999978642,19.78019999978642,19.78019999978642,276.0,0.016847651583490556,0.0,20,20,20,20,20,20,20,20,20,20,20
