Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/comments,52,0,20,24.605446153854107,18.152599999666563,91.77249999993364,157745.0,0.8926099355278814,0.0,20,21,23,25,39,48,50,92,92,92,92
POST,/comments,18,0,150,150.34678888888368,143.33429999987857,221.575699999903,110.0,0.30898036229811277,0.0,150,150,150,150,150,220,220,220,220,220,220
GET,/posts,81,0,18,19.842016049394406,15.124999999898137,65.4420000000755,27520.0,1.3904116303415075,0.0,18,19,19,20,23,35,53,65,65,65,65
POST,/posts,41,0,150,148.4874024389705,142.38559999967038,189.4108999999844,76.0,0.703788603012368,0.0,150,150,150,150,150,170,190,190,190,190,190
GET,/posts/10,2,0,19.40839999997479,237.11099999991347,19.40839999997479,454.81359999985216,217.0,0.03433115136645697,0.0,450,450,450,450,450,450,450,450,450,450,450
GET,/posts/11,1,0,406.7974999998114,406.7974999998114,406.7974999998114,406.7974999998114,262.0,0.017165575683228487,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/posts/13,2,0,18.033500000001368,217.6335999999992,18.033500000001368,417.23369999999704,336.0,0.03433115136645697,0.0,420,420,420,420,420,420,420,420,420,420,420
GET,/posts/14,2,0,30.412300000079995,90.50440000009985,30.412300000079995,150.5965000001197,230.0,0.03433115136645697,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/posts/15,1,0,17.67180000024382,17.67180000024382,17.67180000024382,17.67180000024382,235.0,0.017165575683228487,0.0,18,18,18,18,18,18,18,18,18,18,18
GET,/posts/17,1,0,151.00910000001022,151.00910000001022,151.00910000001022,151.00910000001022,246.0,0.017165575683228487,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/posts/18,1,0,452.9840999998669,452.9840999998669,452.9840999998669,452.9840999998669,214.0,0.017165575683228487,0.0,450,450,450,450,450,450,450,450,450,450,450
